# This data was pulled from pages 53-60 of
# http://www.usb.org/developers/hidpage/Hut1_12v2.pdf

# This data is the table of codes with short (parsable) description of the corresponding keyboard signal

#Usage ID	Usage ID	Usage Name
#(Dec)	(Hex)
0	00	Reserved (no event indicated)	9
1	01	Keyboard ErrorRollOver	9
2	02	Keyboard POSTFail	9
3	03	Keyboard ErrorUndefined	9
4	04	Keyboard a and A	4
5	05	Keyboard b and B	
6	06	Keyboard c and C	4
7	07	Keyboard d and D	
8	08	Keyboard e and E	
9	09	Keyboard f and F	
10	0A	Keyboard g and G	
11	0B	Keyboard h and H	
12	0C	Keyboard i and I	
13	0D	Keyboard j and J	
14	0E	Keyboard k and K	
15	0F	Keyboard l and L	
16	10	Keyboard m and M	4
17	11	Keyboard n and N	
18	12	Keyboard o and O	4
19	13	Keyboard p and P	4
20	14	Keyboard q and Q	4
21	15	Keyboard r and R	
22	16	Keyboard s and S	4
23	17	Keyboard t and T	
24	18	Keyboard u and U	
25	19	Keyboard v and V	
26	1A	Keyboard w and W	4
27	1B	Keyboard x and X	4
28	1C	Keyboard y and Y	4
29	1D	Keyboard z and Z	4
30	1E	Keyboard 1 and !	4
31	1F	Keyboard 2 and @	4
32	20	Keyboard 3 and #	4
33	21	Keyboard 4 and $	4
34	22	Keyboard 5 and %	4
35	23	Keyboard 6 and ^	4
36	24	Keyboard 7 and &	4
37	25	Keyboard 8 and *	4
38	26	Keyboard 9 and (	4
39	27	Keyboard 0 and )	4
40	28	Keyboard Return (ENTER)	5
41	29	Keyboard ESCAPE	
42	2A	Keyboard DELETE (Backspace)	13
43	2B	Keyboard Tab	
44	2C	Keyboard Spacebar	
45	2D	Keyboard - and (underscore)	4
46	2E	Keyboard = and +	4
47	2F	Keyboard [ and {	4
48	30	Keyboard ] and }	4
49	31	Keyboard \ and |	
50	32	Keyboard Non-US # and ~	2
51	33	Keyboard ; and :	4
52	34	Keyboard ‘ and “	4
53	35	Keyboard Grave Accent and Tilde	4
54	36	Keyboard , and <	4
55	37	Keyboard . and >	4
56	38	Keyboard / and ?	4
57	39	Keyboard Caps Lock	11
58	3A	Keyboard F1	
59	3B	Keyboard F2	
60	3C	Keyboard F3	
61	3D	Keyboard F4	
62	3E	Keyboard F5	
63	3F	Keyboard F6	
64	40	Keyboard F7	
65	41	Keyboard F8	
66	42	Keyboard F9	
67	43	Keyboard F10	
68	44	Keyboard F11	
69	45	Keyboard F12	
70	46	Keyboard PrintScreen	1
71	47	Keyboard Scroll Lock	11
72	48	Keyboard Pause	1
73	49	Keyboard Insert	1
74	4A	Keyboard Home	1
75	4B	Keyboard PageUp	1
76	4C	Keyboard Delete Forward	1;14
77	4D	Keyboard End	1
78	4E	Keyboard PageDown	1
79	4F	Keyboard RightArrow	1
80	50	Keyboard LeftArrow	1
81	51	Keyboard DownArrow	1
82	52	Keyboard UpArrow	1
83	53	Keypad Num Lock and Clear	11
84	54	Keypad /	1
85	55	Keypad *	
86	56	Keypad -	
87	57	Keypad +	
88	58	Keypad ENTER	5
89	59	Keypad 1 and End	
90	5A	Keypad 2 and Down Arrow	
91	5B	Keypad 3 and PageDn	
92	5C	Keypad 4 and Left Arrow	
93	5D	Keypad 5	
94	5E	Keypad 6 and Right Arrow	
95	5F	Keypad 7 and Home	
96	60	Keypad 8 and Up Arrow	
97	61	Keypad 9 and PageUp	
98	62	Keypad 0 and Insert	
99	63	Keypad . and Delete	
100	64	Keyboard Non-US \ and |	3;6
101	65	Keyboard Application	10
102	66	Keyboard Power	9
103	67	Keypad =	
104	68	Keyboard F13	
105	69	Keyboard F14	
106	6A	Keyboard F15	
107	6B	Keyboard F16	
108	6C	Keyboard F17	
109	6D	Keyboard F18	
110	6E	Keyboard F19	
111	6F	Keyboard F20	
112	70	Keyboard F21	
113	71	Keyboard F22	
114	72	Keyboard F23	
115	73	Keyboard F24	
116	74	Keyboard Execute	
117	75	Keyboard Help	
118	76	Keyboard Menu	
119	77	Keyboard Select	
120	78	Keyboard Stop	
121	79	Keyboard Again	
122	7A	Keyboard Undo	
123	7B	Keyboard Cut	
124	7C	Keyboard Copy	
125	7D	Keyboard Paste	
126	7E	Keyboard Find	
127	7F	Keyboard Mute	
128	80	Keyboard Volume Up	
129	81	Keyboard Volume Down	
130	82	Keyboard Locking Caps Lock	12
131	83	Keyboard Locking Num Lock	12
132	84	Keyboard Locking Scroll Lock	12
133	85	Keypad Comma	27
134	86	Keypad Equal Sign	29
135	87	Keyboard International1	15,28
136	88	Keyboard International2	16
137	89	Keyboard International3	17
138	8A	Keyboard International4	18
139	8B	Keyboard International5	19
140	8C	Keyboard International6	20
141	8D	Keyboard International7	21
142	8E	Keyboard International8	22
143	8F	Keyboard International9	22
144	90	Keyboard LANG1	25
145	91	Keyboard LANG2	26
146	92	Keyboard LANG3	30
147	93	Keyboard LANG4	31
148	94	Keyboard LANG5	32
149	95	Keyboard LANG6	8
150	96	Keyboard LANG7	8
151	97	Keyboard LANG8	8
152	98	Keyboard LANG9	8
153	99	Keyboard Alternate Erase	7
154	9A	Keyboard SysReq/Attention	1
155	9B	Keyboard Cancel	
156	9C	Keyboard Clear	
157	9D	Keyboard Prior	
158	9E	Keyboard Return	
159	9F	Keyboard Separator	
160	A0	Keyboard Out	
161	A1	Keyboard Oper	
162	A2	Keyboard Clear/Again	
163	A3	Keyboard CrSel/Props	
164	A4	Keyboard ExSel	
165-175	A5-AF	Reserved	
176	B0	Keypad 00	
177	B1	Keypad 000	
178	B2	Thousands Separator	33
179	B3	Decimal Separator	33
180	B4	Currency Unit	34
181	B5	Currency Sub-unit	34
182	B6	Keypad (	
183	B7	Keypad )	
184	B8	Keypad {	
185	B9	Keypad }	
186	BA	Keypad Tab	
187	BB	Keypad Backspace	
188	BC	Keypad A	
189	BD	Keypad B	
190	BE	Keypad C	
191	BF	Keypad D	
192	C0	Keypad E	
193	C1	Keypad F	
194	C2	Keypad XOR	
195	C3	Keypad ^	
196	C4	Keypad %	
197	C5	Keypad <	
198	C6	Keypad >	
199	C7	Keypad &	
200	C8	Keypad &&	
201	C9	Keypad |	
202	CA	Keypad ||	
203	CB	Keypad :	
204	CC	Keypad #	
205	CD	Keypad Space	
206	CE	Keypad @	
207	CF	Keypad !	
208	D0	Keypad Memory Store	
209	D1	Keypad Memory Recall	
210	D2	Keypad Memory Clear	
211	D3	Keypad Memory Add	
212	D4	Keypad Memory Subtract	
213	D5	Keypad Memory Multiply	
214	D6	Keypad Memory Divide	
215	D7	Keypad +/-	
216	D8	Keypad Clear	
217	D9	Keypad Clear Entry	
218	DA	Keypad Binary	
219	DB	Keypad Octal	
220	DC	Keypad Decimal	
221	DD	Keypad Hexadecimal	
222-223	DE-DF	Reserved	
224	E0	Keyboard LeftControl	
225	E1	Keyboard LeftShift	
226	E2	Keyboard LeftAlt	
227	E3	Keyboard Left GUI	
228	E4	Keyboard RightControl	
229	E5	Keyboard RightShift	
230	E6	Keyboard RightAlt	
231	E7	Keyboard Right GUI	
232-65535	E8-FFFF	Reserved	
